"","gene_id","baseMean","logFC","lfcSE","stat","P.Value","adj.P.Val"
"17","AACSP1",6.62220948056989,-2.23659841304279,0.21941470368821,-10.1929387462074,2.13219470700214e-24,8.05773639033397e-24
"22","AADACL4",1.19925650431573,-2.85642861635334,0.316239608023378,-6.59760252244522,4.17859727596307e-11,1.02630839686416e-10
"38","AASS",1360.77751712141,-3.13344835909551,0.1094260290314,-28.6352478900887,2.44723855983389e-180,8.58937033813127e-178
"42","AATK-AS1",1.1499790800097,-2.24048679596448,0.278068381019601,-10.9154173440565,9.72814578352957e-28,4.03304588431288e-27
"51","ABC7-42404400C24.1",195.253310948944,-3.7735001157032,0.137149643575765,-27.5128881750761,1.23103455919691e-166,3.02449803262692e-164
"55","ABCA10",423.243805934542,-2.03671421539516,0.0931737066735388,-21.8593138478145,6.33898400589914e-106,3.11481826589869e-104
"57","ABCA12",86.8308323197714,3.63561854991242,0.238158839421689,15.2608497261375,1.39420858347816e-52,1.17257893488503e-51
"63","ABCA5",4206.25206343407,-2.68350449885233,0.0968898061512219,-27.6964552378422,7.70345675143085e-169,1.99225582170228e-166
"69","ABCB1",614.348871112868,2.17520573165589,0.12474841800928,17.4366263850272,4.35006026243011e-68,5.88036000399339e-67
"74","ABCB11",8.68041178655687,2.38434152255243,0.195168254501928,12.208760054223,2.79110348348243e-34,1.39271741477144e-33
"75","ABCB4",76.9270291813961,2.55249677639497,0.143124233000117,20.0591218547528,1.68025084878815e-89,4.69443218662843e-88
"84","ABCC12",3.78049448477817,-3.72364968752647,0.35905604242606,-8.00732471967813,1.17230656247947e-15,3.39372346793343e-15
"91","ABCC6",912.761837940267,-2.35801305725584,0.104314463468505,-22.6048322446848,3.88449312271538e-113,2.47486911918868e-111
"92","ABCC6P1",163.088312566811,-2.18591325716573,0.120156619630438,-18.1921439517249,5.95639732985004e-74,9.79690288855252e-73
"108","ABCG1",1094.68078970539,2.2259078205826,0.0907761110352142,24.5207433728225,8.87663473725362e-133,1.02629562212188e-130
"111","ABCG5",13.7304373495458,2.4439831113593,0.201752819618136,12.1088966976177,9.47601809329863e-34,4.65278879899537e-33
"112","ABCG8",9.98902297162484,3.36475006172345,0.296741102948442,11.3209605655595,1.03333403939284e-29,4.53301652589359e-29
"116","ABHD11-AS1",150.586366914514,2.2576023932977,0.160460472700161,14.0690337339061,5.88682448365065e-45,3.96931510209789e-44
"130","ABHD17AP4",0.947256379022273,2.71728376749753,0.38986218780706,3.89197576013212,9.9431181133593e-05,0.00017934476141881
"135","ABHD17C",1963.18532786999,2.49033103551111,0.114860373939114,21.6812976881988,3.08070189321603e-104,1.42641214867281e-102
"150","ABLIM3",1463.20370519552,2.10473250542431,0.114259344325323,18.4205923283617,8.98152762478434e-76,1.57056873189623e-74
"160","AC000036.4",1.22639371298393,-2.04046650293591,0.269303737665622,-7.57449656428589,3.60522934684459e-14,9.92378444257832e-14
"166","AC000068.9",6.35702600033409,-2.08928696634732,0.299572154734659,-6.97462163682076,3.06695092951384e-12,7.8608489951874e-12
"174","AC000111.3",0.329779712744442,-2.06983789405335,0.506638797380307,-4.09324630196794,4.25375450838238e-05,7.83979979016885e-05
"175","AC000111.4",1.9992350543456,-3.81648853012012,0.253074602486044,-15.0812840677889,2.15045610037048e-51,1.74802376562373e-50
"176","AC000111.5",0.558726355292513,-2.47260821944751,0.447893566014423,-5.52792663780121,3.24037490700561e-08,7.04608571713632e-08
"178","AC000120.7",29.0442464711291,-2.29908023101983,0.113027250062439,-20.3403498452766,5.65258010148799e-92,1.70531791089404e-90
"207","AC002117.1",6.13342014557107,-2.98767790958286,0.243056910717354,-12.2868566368763,1.06569905533729e-34,5.37705427612743e-34
"220","AC002331.1",1.02868676703558,2.27634027601919,0.253727059078932,8.96610645159803,3.07181086505628e-19,9.96968998558142e-19
"228","AC002400.1",7.577999565087,-3.45955565114308,0.165270243341331,-20.9189545495273,3.59917629801759e-97,1.3088216491681e-95
"245","AC002519.8",7.90963484916978,-2.13637946973406,0.139257222648878,-15.3396910565942,4.15166107701249e-53,3.53786683150577e-52
"246","AC002539.1",1.48489628603777,-3.17224004172392,0.250238692073326,-12.6659643443538,9.12915535463212e-37,4.87193995371421e-36
"277","AC003973.1",2.32393708171508,-2.38314453743487,0.282180632794765,-8.44049307401858,3.16001778991655e-17,9.6369510722746e-17
"289","AC004004.2",0.870236654446482,-3.56168006618739,0.351909061011246,-10.1333251834355,3.93051152483265e-24,1.47277102317388e-23
"291","AC004009.2",2.68227116237114,3.30183043274927,0.322896716007475,10.1951463004167,2.08430476498289e-24,7.87827118379591e-24
"292","AC004009.3",1.77626143669007,3.11791057698509,0.336093722252965,9.26146569911241,2.01644896571743e-20,6.77492383267968e-20
"294","AC004019.10",0.397028558560672,-2.49179291933861,0.513715083731761,-4.8597926846881,1.17508739911177e-06,2.36461150033702e-06
"295","AC004019.13",2.99272236982475,-2.15748314599964,0.188547751161704,-11.4393962647084,2.65728195310976e-30,1.18405977756455e-29
"302","AC004066.2",2.66824176020648,-3.19560641815027,0.234620694389461,-13.6034118843972,3.82180084462257e-42,2.37038484067708e-41
"303","AC004066.3",2.68068442256722,-2.43696137976776,0.212873882412964,-11.4417006424944,2.58762890833766e-30,1.15328449418088e-29
"326","AC004381.7",1.2829550963922,-2.71304030489818,0.260192917956589,-10.4236651196221,1.93355272900585e-25,7.50992567702994e-25
"352","AC004754.3",102.72765771188,-2.20624133173588,0.11897132604871,-18.544251583402,9.07551828917384e-77,1.63876262722749e-75
"365","AC004862.6",2.16372190708245,2.06742227090677,0.327959329785241,6.29179615027183,3.13813419485816e-10,7.42774898843174e-10
"373","AC004895.4",0.740767193486528,-2.49274999746878,0.337687345394635,-7.39227702953731,1.44335409794756e-13,3.88192731187184e-13
"393","AC004988.1",7.79617561922944,3.05489168484135,0.203674665095599,14.9731921641152,1.099162356203e-50,8.75720961133766e-50
"420","AC005104.3",33.7829921674232,-2.52098208315512,0.0963685613256739,-26.1585163402644,7.88481062376721e-151,1.44163677032693e-148
"423","AC005152.3",35.5828805247913,-3.25368830718825,0.198560688697578,-16.3849896895436,2.4481049506555e-60,2.612242280409e-59
"443","AC005255.3",6.2763044258597,2.88789469351488,0.179667255632717,16.0446092918532,6.23500833214209e-58,6.1412723010901e-57
"446","AC005256.1",3.41744571263355,3.53207326304424,0.308328702963207,9.60170372305339,7.86337269414163e-22,2.75941064637304e-21
"452","AC005281.1",0.951374761590384,2.41301231026967,0.40551053448733,5.95219351936188,2.64572268749216e-09,6.02150062791321e-09
"453","AC005281.2",2.71296691357181,2.09620401247997,0.228277919821012,9.16821352115406,4.80922681672209e-20,1.59873747285704e-19
"459","AC005307.1",52.6360161126833,-4.367817547391,0.202648631130753,-21.5488408543835,5.42890823655508e-103,2.40327007633987e-101
"460","AC005307.3",81.8874020261817,-2.42944110038076,0.182838325784554,-13.2872018479348,2.7465855250318e-40,1.61098592940913e-39
"462","AC005329.7",152.92160922292,-3.04500729800704,0.123067949850664,-24.7421383766837,3.767289482266e-135,4.62787967337113e-133
"463","AC005330.2",4.67131140389869,2.18074053491016,0.192611469247635,11.3071613332724,1.20939128537125e-29,5.29529643884426e-29
"465","AC005336.5",0.611708986242727,-2.30731916042848,0.392230021602465,-5.89152849162943,3.82639668477006e-09,8.65253415084623e-09
